"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"18:56:58.221, 7 de dez de 2022","0,0","0,0","130.023.456","17.825.792","2.417","1.079","20","15"
"18:56:59.236, 7 de dez de 2022","0,3","0,0","130.023.456","17.825.792","2.417","1.079","20","15"
"18:57:00.195, 7 de dez de 2022","1,3","0,0","130.023.456","17.825.792","2.417","1.079","20","15"
"18:57:01.195, 7 de dez de 2022","0,4","0,0","130.023.456","17.825.792","2.418","1.079","20","15"
"18:57:02.196, 7 de dez de 2022","0,3","0,0","130.023.456","17.825.792","2.418","1.079","20","15"
"18:57:03.196, 7 de dez de 2022","0,4","0,0","130.023.456","17.825.792","2.419","1.079","20","15"
"18:57:04.196, 7 de dez de 2022","0,3","0,0","130.023.456","17.825.792","2.421","1.079","20","15"
"18:57:05.197, 7 de dez de 2022","0,3","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:06.197, 7 de dez de 2022","0,2","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:07.197, 7 de dez de 2022","0,3","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:08.197, 7 de dez de 2022","0,3","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:09.198, 7 de dez de 2022","0,3","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:10.198, 7 de dez de 2022","0,6","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:11.198, 7 de dez de 2022","0,3","0,0","130.023.456","18.874.368","2.421","1.079","20","15"
"18:57:12.199, 7 de dez de 2022","0,6","0,0","130.023.456","19.922.944","2.421","1.079","20","15"
"18:57:13.199, 7 de dez de 2022","0,8","0,0","130.023.456","19.922.944","2.421","1.079","20","15"
"18:57:14.199, 7 de dez de 2022","36,0","0,5","566.231.072","185.196.040","2.652","1.138","25","15"
"18:57:15.199, 7 de dez de 2022","47,4","0,4","800.063.520","453.572.432","2.652","1.138","20","15"
"18:57:16.200, 7 de dez de 2022","29,1","0,2","800.063.520","445.458.128","2.654","1.138","23","15"
"18:57:17.200, 7 de dez de 2022","30,0","0,2","800.063.520","24.765.408","2.654","1.138","20","15"
"18:57:18.200, 7 de dez de 2022","28,8","0,2","800.063.520","15.384.040","2.654","1.138","22","15"
"18:57:19.200, 7 de dez de 2022","19,7","0,1","800.063.520","63.597.736","2.654","1.138","20","15"
"18:57:20.200, 7 de dez de 2022","0,3","0,0","800.063.520","64.646.312","2.654","1.138","20","15"
"18:57:21.201, 7 de dez de 2022","0,2","0,0","800.063.520","65.694.888","2.654","1.138","20","15"
"18:57:22.201, 7 de dez de 2022","1,3","0,0","800.063.520","65.694.888","2.654","1.138","20","15"
"18:57:23.201, 7 de dez de 2022","0,2","0,0","800.063.520","65.694.888","2.654","1.138","20","15"
"18:57:24.202, 7 de dez de 2022","0,3","0,0","800.063.520","65.694.888","2.654","1.138","20","15"
"18:57:25.202, 7 de dez de 2022","0,3","0,0","800.063.520","65.694.888","2.655","1.138","20","15"
"18:57:26.203, 7 de dez de 2022","0,6","0,0","800.063.520","65.694.888","2.655","1.138","20","15"
"18:57:27.203, 7 de dez de 2022","0,3","0,0","800.063.520","66.743.464","2.655","1.138","20","15"
"18:57:28.203, 7 de dez de 2022","1,7","0,0","800.063.520","66.743.464","2.655","1.138","20","15"
"18:57:29.204, 7 de dez de 2022","0,4","0,0","800.063.520","66.743.464","2.655","1.138","20","15"
"18:57:30.204, 7 de dez de 2022","0,3","0,0","800.063.520","66.743.464","2.655","1.138","20","15"
"18:57:31.204, 7 de dez de 2022","0,2","0,0","800.063.520","66.743.464","2.656","1.138","20","15"
"18:57:32.204, 7 de dez de 2022","0,6","0,0","800.063.520","66.743.464","2.656","1.138","20","15"
"18:57:33.205, 7 de dez de 2022","0,9","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:34.205, 7 de dez de 2022","0,2","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:35.206, 7 de dez de 2022","0,2","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:36.206, 7 de dez de 2022","0,3","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:37.206, 7 de dez de 2022","0,3","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:38.207, 7 de dez de 2022","0,1","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:39.207, 7 de dez de 2022","0,2","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:40.207, 7 de dez de 2022","0,1","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:41.207, 7 de dez de 2022","0,2","0,0","800.063.520","67.792.040","2.656","1.138","20","15"
"18:57:42.208, 7 de dez de 2022","0,1","0,0","800.063.520","68.840.616","2.656","1.138","20","15"
"18:57:43.208, 7 de dez de 2022","0,2","0,0","800.063.520","68.840.616","2.656","1.138","20","15"
"18:57:44.208, 7 de dez de 2022","0,2","0,0","800.063.520","68.840.616","2.656","1.138","20","15"
"18:57:45.209, 7 de dez de 2022","0,3","0,0","800.063.520","68.840.616","2.656","1.138","20","15"
"18:57:46.209, 7 de dez de 2022","0,1","0,0","800.063.520","68.840.616","2.656","1.138","20","15"
