"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"23:32:08.657, 6 de dez de 2022","0,0","0,0","130.023.456","20.971.520","21","16","2.426","1.079"
"23:32:09.633, 6 de dez de 2022","0,2","0,0","130.023.456","22.020.096","21","16","2.426","1.079"
"23:32:10.634, 6 de dez de 2022","0,6","0,0","130.023.456","22.020.096","21","16","2.427","1.079"
"23:32:11.634, 6 de dez de 2022","0,5","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:12.634, 6 de dez de 2022","0,7","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:13.634, 6 de dez de 2022","0,1","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:14.635, 6 de dez de 2022","0,2","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:15.635, 6 de dez de 2022","0,1","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:16.635, 6 de dez de 2022","0,2","0,0","130.023.456","22.020.096","21","16","2.428","1.079"
"23:32:17.636, 6 de dez de 2022","1,6","0,0","132.120.608","4.693.384","21","16","2.429","1.079"
"23:32:18.636, 6 de dez de 2022","10,3","0,1","132.120.608","28.497.496","21","16","2.594","1.138"
"23:32:19.636, 6 de dez de 2022","10,9","0,3","212.860.960","84.000.016","21","16","2.594","1.138"
"23:32:20.637, 6 de dez de 2022","7,9","0,2","398.458.912","18.841.600","21","16","2.594","1.138"
"23:32:21.637, 6 de dez de 2022","12,2","0,1","398.458.912","130.294.968","21","16","2.595","1.138"
"23:32:22.637, 6 de dez de 2022","9,3","0,0","398.458.912","58.807.944","22","16","2.595","1.138"
"23:32:23.637, 6 de dez de 2022","2,6","0,0","398.458.912","139.548.296","21","16","2.597","1.138"
"23:32:24.638, 6 de dez de 2022","0,2","0,0","398.458.912","139.548.296","21","16","2.597","1.138"
"23:32:25.638, 6 de dez de 2022","0,2","0,0","398.458.912","139.548.296","21","16","2.597","1.138"
"23:32:26.638, 6 de dez de 2022","0,1","0,0","398.458.912","140.596.872","21","16","2.597","1.138"
"23:32:27.639, 6 de dez de 2022","0,1","0,0","398.458.912","140.596.872","21","16","2.597","1.138"
"23:32:28.639, 6 de dez de 2022","0,2","0,0","398.458.912","140.596.872","21","16","2.597","1.138"
"23:32:29.640, 6 de dez de 2022","0,1","0,0","398.458.912","140.596.872","21","16","2.597","1.138"
"23:32:30.640, 6 de dez de 2022","0,1","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:31.640, 6 de dez de 2022","0,1","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:32.641, 6 de dez de 2022","0,4","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:33.641, 6 de dez de 2022","0,1","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:34.641, 6 de dez de 2022","0,2","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:35.642, 6 de dez de 2022","0,1","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:36.642, 6 de dez de 2022","0,2","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:37.642, 6 de dez de 2022","0,1","0,0","398.458.912","141.645.448","21","16","2.597","1.138"
"23:32:38.643, 6 de dez de 2022","0,1","0,0","398.458.912","142.694.024","21","16","2.597","1.138"
"23:32:39.643, 6 de dez de 2022","0,1","0,0","398.458.912","142.694.024","21","16","2.597","1.138"
"23:32:40.644, 6 de dez de 2022","0,2","0,0","398.458.912","142.694.024","21","16","2.597","1.138"
"23:32:41.644, 6 de dez de 2022","0,1","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:42.644, 6 de dez de 2022","0,1","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:43.644, 6 de dez de 2022","0,2","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:44.645, 6 de dez de 2022","0,2","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:45.645, 6 de dez de 2022","0,1","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:46.646, 6 de dez de 2022","0,2","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:47.646, 6 de dez de 2022","0,4","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:48.646, 6 de dez de 2022","0,3","0,0","398.458.912","143.742.600","21","16","2.597","1.138"
"23:32:49.647, 6 de dez de 2022","0,1","0,0","398.458.912","144.791.176","21","16","2.597","1.138"
"23:32:50.647, 6 de dez de 2022","0,2","0,0","398.458.912","144.791.176","21","16","2.597","1.138"
"23:32:51.647, 6 de dez de 2022","0,2","0,0","398.458.912","144.791.176","21","16","2.597","1.138"
"23:32:52.648, 6 de dez de 2022","0,1","0,0","398.458.912","144.791.176","21","16","2.597","1.138"
"23:32:53.648, 6 de dez de 2022","0,2","0,0","398.458.912","144.791.176","21","16","2.598","1.138"
"23:32:54.648, 6 de dez de 2022","0,4","0,0","398.458.912","144.791.176","21","16","2.598","1.138"
"23:32:55.649, 6 de dez de 2022","0,2","0,0","398.458.912","144.791.176","21","16","2.598","1.138"
"23:32:56.649, 6 de dez de 2022","0,1","0,0","398.458.912","144.791.176","21","16","2.598","1.138"
"23:32:57.649, 6 de dez de 2022","0,1","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:32:58.650, 6 de dez de 2022","0,4","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:32:59.650, 6 de dez de 2022","0,4","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:33:00.650, 6 de dez de 2022","0,2","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:33:01.651, 6 de dez de 2022","0,0","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:33:02.651, 6 de dez de 2022","0,3","0,0","398.458.912","145.839.752","21","16","2.598","1.138"
"23:33:03.652, 6 de dez de 2022","0,1","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:04.652, 6 de dez de 2022","0,3","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:05.652, 6 de dez de 2022","0,1","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:06.653, 6 de dez de 2022","0,2","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:07.653, 6 de dez de 2022","1,4","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:08.653, 6 de dez de 2022","0,1","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:09.654, 6 de dez de 2022","0,1","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:10.654, 6 de dez de 2022","0,1","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:11.654, 6 de dez de 2022","0,6","0,0","398.458.912","146.888.328","21","16","2.598","1.138"
"23:33:12.655, 6 de dez de 2022","0,1","0,0","398.458.912","147.936.904","21","16","2.598","1.138"
"23:33:13.655, 6 de dez de 2022","0,3","0,0","398.458.912","147.936.904","21","16","2.598","1.138"
"23:33:14.655, 6 de dez de 2022","0,2","0,0","398.458.912","147.936.904","21","16","2.598","1.138"
"23:33:15.656, 6 de dez de 2022","0,1","0,0","398.458.912","147.936.904","21","16","2.599","1.138"
"23:33:16.656, 6 de dez de 2022","0,1","0,0","398.458.912","147.936.904","21","16","2.599","1.138"
"23:33:17.657, 6 de dez de 2022","0,1","0,0","398.458.912","148.985.480","20","15","2.599","1.138"
"23:33:18.657, 6 de dez de 2022","0,2","0,0","398.458.912","148.985.480","20","15","2.599","1.138"
"23:33:19.657, 6 de dez de 2022","0,3","0,0","398.458.912","148.985.480","20","15","2.599","1.138"
"23:33:20.658, 6 de dez de 2022","0,2","0,0","398.458.912","148.985.480","20","15","2.599","1.138"
"23:33:21.658, 6 de dez de 2022","0,1","0,0","398.458.912","148.985.480","20","15","2.599","1.138"
"23:33:22.658, 6 de dez de 2022","0,1","0,0","398.458.912","148.985.480","20","15","2.600","1.138"
"23:33:23.659, 6 de dez de 2022","0,1","0,0","398.458.912","150.034.056","20","15","2.600","1.138"
