"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Live","Daemon","Total loaded","Shared loaded"
"16:16:57.644, 19 de jun. de 2023","0,0","0,0","514.850.816","31.938.680","19.398.656","18.931.176","22","19","4.206","0"
"16:16:58.625, 19 de jun. de 2023","0,6","0,0","514.850.816","31.938.680","19.398.656","18.941.488","22","19","4.206","0"
"16:16:59.626, 19 de jun. de 2023","0,3","0,0","514.850.816","31.938.680","19.398.656","18.943.080","22","19","4.206","0"
"16:17:00.626, 19 de jun. de 2023","1,0","0,0","514.850.816","33.421.848","19.464.192","18.961.976","22","19","4.206","0"
"16:17:01.627, 19 de jun. de 2023","0,7","0,0","514.850.816","33.421.848","19.464.192","18.987.088","22","19","4.206","0"
"16:17:02.627, 19 de jun. de 2023","0,2","0,0","514.850.816","33.421.848","19.464.192","18.999.704","22","19","4.206","0"
"16:17:03.627, 19 de jun. de 2023","47,2","0,0","514.850.816","115.290.344","21.561.344","20.848.648","31","28","4.487","0"
"16:17:04.627, 19 de jun. de 2023","70,6","3,0","805.306.368","257.511.672","21.692.416","20.991.096","31","28","4.446","0"
"16:17:05.628, 19 de jun. de 2023","67,6","3,0","1.308.098.560","468.590.848","22.020.096","21.326.896","32","29","4.448","0"
"16:17:06.628, 19 de jun. de 2023","53,7","0,0","1.308.098.560","559.886.304","22.085.632","21.398.088","32","29","4.448","0"
"16:17:07.628, 19 de jun. de 2023","48,7","0,0","1.308.098.560","720.314.608","22.085.632","21.455.568","32","29","4.448","0"
"16:17:08.628, 19 de jun. de 2023","49,0","7,3","2.294.284.288","757.163.248","22.085.632","21.476.520","32","29","4.448","0"
"16:17:09.629, 19 de jun. de 2023","50,0","0,0","2.294.284.288","885.221.224","22.085.632","21.483.632","32","29","4.448","0"
"16:17:10.629, 19 de jun. de 2023","50,3","0,0","2.294.284.288","1.039.813.088","22.151.168","21.491.120","32","29","4.448","0"
"16:17:11.629, 19 de jun. de 2023","49,5","0,0","2.294.284.288","1.144.763.144","22.151.168","21.498.280","32","29","4.448","0"
"16:17:12.629, 19 de jun. de 2023","47,5","2,7","2.294.284.288","1.209.098.392","22.151.168","21.519.200","32","29","4.448","0"
"16:17:13.629, 19 de jun. de 2023","52,3","0,0","2.294.284.288","1.276.591.832","22.151.168","21.540.064","32","29","4.449","0"
"16:17:14.630, 19 de jun. de 2023","90,6","0,0","2.294.284.288","1.339.285.208","22.151.168","21.543.456","32","29","4.449","0"
"16:17:15.630, 19 de jun. de 2023","86,6","0,0","2.294.284.288","1.525.224.880","22.216.704","21.565.992","32","29","4.449","0"
"16:17:16.631, 19 de jun. de 2023","61,9","1,7","2.441.609.216","1.488.154.128","22.216.704","21.585.984","32","29","4.450","0"
"16:17:17.631, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.488.456.656","22.216.704","21.591.536","32","29","4.450","0"
"16:17:18.631, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.493.530.696","22.216.704","21.595.608","32","29","4.450","0"
"16:17:19.631, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.493.833.744","22.216.704","21.595.968","32","29","4.450","0"
"16:17:20.631, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.494.136.256","22.216.704","21.595.968","32","29","4.450","0"
"16:17:21.632, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.494.439.776","22.216.704","21.595.968","32","29","4.450","0"
"16:17:22.632, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.494.742.344","22.216.704","21.595.968","32","29","4.450","0"
"16:17:23.632, 19 de jun. de 2023","0,4","0,0","2.441.609.216","1.495.044.872","22.216.704","21.595.968","32","29","4.450","0"
"16:17:24.632, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.495.348.376","22.216.704","21.598.152","32","29","4.451","0"
"16:17:25.633, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.495.802.192","22.216.704","21.606.888","32","29","4.455","0"
"16:17:26.633, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.496.104.720","22.216.704","21.608.000","32","29","4.455","0"
"16:17:27.633, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.496.407.208","22.216.704","21.608.000","32","29","4.455","0"
"16:17:28.633, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.496.709.736","22.216.704","21.608.000","32","29","4.455","0"
"16:17:29.634, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.497.012.784","22.216.704","21.608.000","32","29","4.455","0"
"16:17:30.634, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.497.315.288","22.216.704","21.608.000","32","29","4.455","0"
"16:17:31.634, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.497.617.864","22.216.704","21.608.000","32","29","4.455","0"
"16:17:32.635, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.497.921.416","22.216.704","21.609.992","32","29","4.456","0"
"16:17:33.635, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.499.071.824","22.216.704","21.609.992","32","29","4.456","0"
"16:17:34.635, 19 de jun. de 2023","0,5","0,0","2.441.609.216","1.499.374.312","22.216.704","21.615.568","32","29","4.457","0"
"16:17:35.636, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.499.677.840","22.216.704","21.616.312","32","29","4.458","0"
"16:17:36.636, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.499.983.160","22.216.704","21.617.448","32","29","4.458","0"
"16:17:37.636, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.500.288.504","22.216.704","21.623.472","32","29","4.458","0"
"16:17:38.637, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.500.591.488","22.216.704","21.623.472","32","29","4.458","0"
"16:17:39.637, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.500.894.984","22.216.704","21.623.472","32","29","4.458","0"
"16:17:40.638, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.501.198.504","22.216.704","21.623.472","32","29","4.458","0"
"16:17:41.638, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.501.652.304","22.216.704","21.623.912","32","29","4.458","0"
"16:17:42.638, 19 de jun. de 2023","0,3","0,0","2.441.609.216","1.501.955.816","22.282.240","21.625.216","32","29","4.458","0"
"16:17:43.639, 19 de jun. de 2023","0,6","0,0","2.441.609.216","1.502.258.312","22.282.240","21.629.544","32","29","4.458","0"
"16:17:44.639, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.502.560.808","22.282.240","21.629.928","32","29","4.458","0"
"16:17:45.639, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.502.863.336","22.282.240","21.630.344","32","29","4.458","0"
"16:17:46.640, 19 de jun. de 2023","0,6","0,0","2.441.609.216","1.503.165.832","22.282.240","21.635.584","31","28","4.460","0"
"16:17:47.640, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.503.469.400","22.282.240","21.635.584","31","28","4.460","0"
"16:17:48.640, 19 de jun. de 2023","2,3","0,0","2.441.609.216","1.503.771.880","22.282.240","21.635.584","31","28","4.460","0"
"16:17:49.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.074.376","22.282.240","21.635.584","31","28","4.460","0"
"16:17:50.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.376.984","22.282.240","21.636.072","31","28","4.460","0"
"16:17:51.641, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.504.679.496","22.282.240","21.636.568","31","28","4.460","0"
"16:17:52.642, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.504.982.984","22.282.240","21.636.568","31","28","4.460","0"
"16:17:53.642, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.505.285.480","22.282.240","21.636.568","31","28","4.460","0"
"16:17:54.642, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.505.589.480","22.282.240","21.636.568","31","28","4.460","0"
"16:17:55.643, 19 de jun. de 2023","0,1","0,0","2.441.609.216","1.505.892.016","22.282.240","21.636.568","31","28","4.460","0"
"16:17:56.643, 19 de jun. de 2023","0,2","0,0","2.441.609.216","1.506.346.768","22.347.776","21.654.968","31","28","4.465","0"
