"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:07:47.055, 30 de jun. de 2023","0,0","0,0","514.850.816","127.930.928","3.865","0","20","17"
"21:07:48.043, 30 de jun. de 2023","0,3","0,0","514.850.816","127.930.928","3.866","0","20","17"
"21:07:49.043, 30 de jun. de 2023","1,0","0,0","514.850.816","127.930.928","3.866","0","20","17"
"21:07:50.043, 30 de jun. de 2023","0,7","0,0","514.850.816","127.930.928","3.884","0","20","17"
"21:07:51.043, 30 de jun. de 2023","0,3","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:52.044, 30 de jun. de 2023","0,2","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:53.044, 30 de jun. de 2023","1,0","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:54.044, 30 de jun. de 2023","0,7","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:55.044, 30 de jun. de 2023","0,8","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:56.044, 30 de jun. de 2023","0,1","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:57.044, 30 de jun. de 2023","0,2","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:58.045, 30 de jun. de 2023","0,3","0,0","514.850.816","130.626.808","3.892","0","20","17"
"21:07:59.045, 30 de jun. de 2023","0,5","0,0","514.850.816","130.626.808","3.894","0","20","17"
"21:08:00.045, 30 de jun. de 2023","0,2","0,0","514.850.816","130.626.808","3.894","0","20","17"
"21:08:01.045, 30 de jun. de 2023","0,8","0,0","514.850.816","133.321.680","3.894","0","20","17"
"21:08:02.045, 30 de jun. de 2023","0,1","0,0","514.850.816","133.321.680","3.894","0","20","17"
"21:08:03.045, 30 de jun. de 2023","1,4","0,0","514.850.816","133.321.680","3.894","0","20","17"
"21:08:04.046, 30 de jun. de 2023","0,1","0,0","514.850.816","133.321.680","3.894","0","20","17"
"21:08:05.046, 30 de jun. de 2023","0,2","0,0","514.850.816","133.321.680","3.894","0","20","17"
"21:08:06.046, 30 de jun. de 2023","10,7","0,1","514.850.816","33.642.544","4.169","0","29","26"
"21:08:07.046, 30 de jun. de 2023","76,1","0,4","514.850.816","207.956.656","4.172","0","29","26"
"21:08:08.046, 30 de jun. de 2023","62,0","2,7","825.229.312","345.226.264","4.138","0","29","26"
"21:08:09.046, 30 de jun. de 2023","57,2","4,9","1.329.594.368","486.335.456","4.138","0","29","26"
"21:08:10.047, 30 de jun. de 2023","51,3","0,0","1.329.594.368","601.155.504","4.138","0","29","26"
"21:08:11.049, 30 de jun. de 2023","55,3","0,0","1.329.594.368","751.468.248","4.138","0","29","26"
"21:08:12.047, 30 de jun. de 2023","49,2","8,0","2.334.654.464","803.439.824","4.138","0","29","26"
"21:08:13.047, 30 de jun. de 2023","51,3","0,0","2.334.654.464","909.191.296","4.138","0","29","26"
"21:08:14.047, 30 de jun. de 2023","50,8","0,0","2.334.654.464","1.038.134.792","4.138","0","29","26"
"21:08:15.047, 30 de jun. de 2023","49,0","0,0","2.334.654.464","1.174.487.560","4.138","0","29","26"
"21:08:16.048, 30 de jun. de 2023","53,4","1,6","2.334.654.464","1.238.166.976","4.143","0","29","26"
"21:08:17.048, 30 de jun. de 2023","78,2","0,0","2.334.654.464","1.342.655.208","4.143","0","29","26"
"21:08:18.048, 30 de jun. de 2023","88,3","0,0","2.334.654.464","1.420.726.120","4.144","0","29","26"
"21:08:19.048, 30 de jun. de 2023","73,5","0,0","2.334.654.464","1.504.888.832","4.144","0","29","26"
"21:08:20.048, 30 de jun. de 2023","11,8","0,0","2.334.654.464","1.509.008.744","4.145","0","29","26"
"21:08:21.048, 30 de jun. de 2023","1,1","0,0","2.334.654.464","1.509.008.744","4.145","0","29","26"
"21:08:22.049, 30 de jun. de 2023","2,5","0,0","2.334.654.464","1.509.562.608","4.145","0","29","26"
"21:08:23.049, 30 de jun. de 2023","1,0","0,0","2.334.654.464","1.509.562.608","4.145","0","29","26"
"21:08:24.049, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.510.117.392","4.145","0","29","26"
"21:08:25.049, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.510.671.664","4.146","0","29","26"
"21:08:26.049, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.510.671.664","4.147","0","29","26"
"21:08:27.049, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.511.226.448","4.148","0","29","26"
"21:08:28.050, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.511.226.448","4.148","0","29","26"
"21:08:29.050, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.511.780.232","4.148","0","29","26"
"21:08:30.050, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.511.780.232","4.148","0","29","26"
"21:08:31.050, 30 de jun. de 2023","0,3","0,0","2.334.654.464","1.512.334.016","4.148","0","29","26"
"21:08:32.050, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.512.334.016","4.148","0","29","26"
"21:08:33.051, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.512.888.800","4.148","0","29","26"
"21:08:34.051, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.513.442.600","4.148","0","29","26"
"21:08:35.051, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.519.314.600","4.148","0","29","26"
"21:08:36.051, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.519.868.400","4.148","0","29","26"
"21:08:37.051, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.519.868.400","4.148","0","29","26"
"21:08:38.052, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.520.422.192","4.148","0","29","26"
"21:08:39.052, 30 de jun. de 2023","0,3","0,0","2.334.654.464","1.520.422.192","4.148","0","29","26"
"21:08:40.052, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.520.975.984","4.148","0","29","26"
"21:08:41.052, 30 de jun. de 2023","0,3","0,0","2.334.654.464","1.520.975.984","4.148","0","29","26"
"21:08:42.052, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.521.529.816","4.148","0","29","26"
"21:08:43.053, 30 de jun. de 2023","2,5","0,0","2.334.654.464","1.521.529.816","4.148","0","29","26"
"21:08:44.053, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.522.084.088","4.149","0","29","26"
"21:08:45.053, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.522.637.856","4.149","0","29","26"
"21:08:46.053, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.522.637.856","4.149","0","29","26"
"21:08:47.053, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.523.192.640","4.149","0","29","26"
"21:08:48.053, 30 de jun. de 2023","0,7","0,0","2.334.654.464","1.523.192.640","4.156","0","29","26"
"21:08:49.053, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.523.746.440","4.156","0","29","26"
"21:08:50.054, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.523.746.440","4.158","0","28","25"
"21:08:51.054, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.524.300.224","4.158","0","28","25"
"21:08:52.054, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.524.300.224","4.158","0","28","25"
"21:08:53.054, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.524.854.160","4.158","0","28","25"
"21:08:54.054, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.525.408.944","4.158","0","28","25"
"21:08:55.055, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.525.408.944","4.158","0","28","25"
"21:08:56.055, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.525.962.704","4.158","0","28","25"
"21:08:57.055, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.525.962.704","4.158","0","28","25"
"21:08:58.055, 30 de jun. de 2023","3,7","0,0","2.334.654.464","1.526.516.472","4.158","0","28","25"
"21:08:59.056, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.526.516.472","4.158","0","28","25"
"21:09:00.056, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.527.070.256","4.158","0","28","25"
"21:09:01.056, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.527.070.256","4.158","0","28","25"
"21:09:02.056, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.527.624.120","4.158","0","28","25"
"21:09:03.056, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.527.624.120","4.158","0","28","25"
"21:09:04.056, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.528.177.944","4.158","0","28","25"
"21:09:05.057, 30 de jun. de 2023","0,5","0,0","2.334.654.464","1.528.732.216","4.158","0","28","25"
"21:09:06.057, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.528.732.216","4.158","0","28","25"
"21:09:07.057, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.529.286.488","4.158","0","28","25"
"21:09:08.057, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.530.084.936","4.158","0","28","25"
"21:09:09.057, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.530.638.712","4.158","0","28","25"
"21:09:10.057, 30 de jun. de 2023","0,0","0,0","2.334.654.464","1.531.866.936","4.158","0","28","25"
"21:09:11.058, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.532.420.704","4.158","0","28","25"
"21:09:12.058, 30 de jun. de 2023","1,0","0,0","2.334.654.464","1.532.420.704","4.158","0","28","25"
"21:09:13.058, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.532.974.488","4.158","0","28","25"
"21:09:14.058, 30 de jun. de 2023","0,1","0,0","2.334.654.464","1.532.974.488","4.158","0","28","25"
"21:09:15.059, 30 de jun. de 2023","0,2","0,0","2.334.654.464","1.533.528.760","4.158","0","28","25"
