"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:22:51.264, 19 de jun. de 2023","0,0","0,0","514.850.816","36.518.016","19.398.656","18.927.464","4.206","0","23","20"
"16:22:52.245, 19 de jun. de 2023","0,8","0,0","514.850.816","36.518.016","19.464.192","18.943.928","4.206","0","23","20"
"16:22:53.245, 19 de jun. de 2023","0,3","0,0","514.850.816","36.518.016","19.464.192","18.947.608","4.206","0","23","20"
"16:22:54.245, 19 de jun. de 2023","0,6","0,0","514.850.816","36.518.016","19.464.192","18.956.792","4.206","0","23","20"
"16:22:55.246, 19 de jun. de 2023","0,3","0,0","514.850.816","36.518.016","19.464.192","18.968.984","4.208","0","23","20"
"16:22:56.246, 19 de jun. de 2023","0,5","0,0","514.850.816","37.970.984","19.464.192","18.985.368","4.208","0","23","20"
"16:22:57.246, 19 de jun. de 2023","0,3","0,0","514.850.816","37.970.984","19.464.192","18.992.888","4.208","0","23","20"
"16:22:58.246, 19 de jun. de 2023","16,9","0,0","514.850.816","52.347.896","20.643.840","20.026.824","4.478","0","50","47"
"16:22:59.246, 19 de jun. de 2023","67,5","0,3","514.850.816","139.972.088","21.495.808","20.911.704","4.481","0","284","281"
"16:23:00.246, 19 de jun. de 2023","76,0","0,0","514.850.816","215.419.336","21.757.952","21.183.536","4.482","0","404","401"
"16:23:01.247, 19 de jun. de 2023","74,6","0,4","514.850.816","246.160.016","21.954.560","21.384.856","4.482","0","595","592"
"16:23:02.247, 19 de jun. de 2023","78,2","0,0","514.850.816","278.272.824","22.020.096","21.421.888","4.482","0","671","668"
"16:23:03.247, 19 de jun. de 2023","82,4","0,4","649.592.832","273.135.696","22.020.096","21.427.400","4.482","0","730","727"
"16:23:04.247, 19 de jun. de 2023","77,2","0,0","649.592.832","326.771.656","22.020.096","21.446.224","4.482","0","769","766"
"16:23:05.247, 19 de jun. de 2023","80,3","0,0","649.592.832","398.214.432","22.020.096","21.459.944","4.483","0","887","884"
"16:23:06.247, 19 de jun. de 2023","79,1","0,0","649.592.832","444.831.568","22.020.096","21.461.872","4.483","0","947","941"
"16:23:07.248, 19 de jun. de 2023","76,7","2,2","649.592.832","328.860.656","22.020.096","21.369.600","4.423","0","986","983"
"16:23:08.248, 19 de jun. de 2023","74,3","0,0","649.592.832","427.333.512","22.020.096","21.381.072","4.423","0","1.070","1.067"
"16:23:09.248, 19 de jun. de 2023","26,5","0,0","649.592.832","442.911.552","22.020.096","21.417.296","4.424","0","1.070","1.067"
"16:23:10.248, 19 de jun. de 2023","0,7","0,0","649.592.832","445.886.912","22.020.096","21.418.368","4.424","0","1.070","1.067"
"16:23:11.249, 19 de jun. de 2023","0,7","0,0","649.592.832","449.696.248","22.020.096","21.418.368","4.424","0","1.070","1.067"
"16:23:12.249, 19 de jun. de 2023","1,5","0,0","649.592.832","452.716.720","22.020.096","21.420.544","4.424","0","1.070","1.067"
"16:23:13.249, 19 de jun. de 2023","0,5","0,0","649.592.832","455.703.400","22.020.096","21.420.544","4.424","0","1.070","1.067"
"16:23:14.249, 19 de jun. de 2023","0,3","0,0","649.592.832","459.512.864","22.020.096","21.420.544","4.424","0","1.070","1.067"
"16:23:15.249, 19 de jun. de 2023","0,6","0,0","649.592.832","462.488.288","22.020.096","21.420.544","4.424","0","1.070","1.067"
"16:23:16.250, 19 de jun. de 2023","0,8","0,0","649.592.832","466.219.232","22.020.096","21.422.736","4.425","0","1.070","1.067"
"16:23:17.250, 19 de jun. de 2023","0,5","0,0","649.592.832","469.374.880","22.020.096","21.431.504","4.429","0","1.070","1.067"
"16:23:18.250, 19 de jun. de 2023","0,5","0,0","649.592.832","472.372.824","22.020.096","21.431.504","4.429","0","1.070","1.067"
"16:23:19.250, 19 de jun. de 2023","0,3","0,0","649.592.832","475.370.736","22.020.096","21.431.504","4.429","0","1.070","1.067"
"16:23:20.251, 19 de jun. de 2023","0,6","0,0","649.592.832","479.181.088","22.020.096","21.431.504","4.429","0","1.070","1.067"
"16:23:21.251, 19 de jun. de 2023","0,3","0,0","649.592.832","482.156.456","22.020.096","21.432.128","4.429","0","1.070","1.067"
"16:23:22.251, 19 de jun. de 2023","0,5","0,0","649.592.832","485.131.872","22.020.096","21.436.288","4.430","0","1.070","1.067"
"16:23:23.252, 19 de jun. de 2023","0,4","0,0","649.592.832","488.942.216","22.020.096","21.436.288","4.430","0","1.070","1.067"
"16:23:24.252, 19 de jun. de 2023","0,3","0,0","649.592.832","491.940.136","22.020.096","21.436.288","4.430","0","1.070","1.067"
"16:23:25.252, 19 de jun. de 2023","0,7","0,0","649.592.832","494.938.008","22.020.096","21.441.272","4.430","0","1.070","1.067"
"16:23:26.253, 19 de jun. de 2023","0,7","0,0","649.592.832","498.747.344","22.020.096","21.444.208","4.432","0","1.070","1.067"
