Type;Time [ms];CPU usage [%];GC activity [%];Size [B];Used [B];Total loaded;Shared loaded;Live;Daemon
Cached Threads;21:21:46.274, 30 de jun. de 2023;0,0;0,0;1.013.448.704;598.195.712;4.207;0;19;16
Cached Threads;21:21:47.274, 30 de jun. de 2023;0,1;0,0;1.013.448.704;598.195.712;4.207;0;19;16
Cached Threads;21:21:48.275, 30 de jun. de 2023;13,2;0,0;1.013.448.704;639.795.112;4.207;0;568;565
Cached Threads;21:21:49.275, 30 de jun. de 2023;49,6;0,0;1.013.448.704;674.122.192;4.207;0;711;708
Cached Threads;21:21:50.275, 30 de jun. de 2023;50,2;0,0;1.013.448.704;691.857.256;4.207;0;711;708
Cached Threads;21:21:51.275, 30 de jun. de 2023;46,3;0,0;1.013.448.704;709.299.856;4.207;0;711;708
Cached Threads;21:21:52.275, 30 de jun. de 2023;51,5;0,0;1.013.448.704;726.476.592;4.207;0;711;708
Cached Threads;21:21:53.275, 30 de jun. de 2023;46,4;0,0;1.013.448.704;745.585.240;4.207;0;711;708
Cached Threads;21:21:54.275, 30 de jun. de 2023;49,6;0,0;1.013.448.704;761.369.744;4.207;0;711;708
Cached Threads;21:21:55.275, 30 de jun. de 2023;46,0;0,0;1.013.448.704;780.771.624;4.207;0;711;708
Cached Threads;21:21:56.276, 30 de jun. de 2023;50,1;0,0;1.013.448.704;797.858.864;4.207;0;711;708
Cached Threads;21:21:57.276, 30 de jun. de 2023;49,0;0,0;1.013.448.704;814.692.480;4.207;0;711;708
Cached Threads;21:21:58.276, 30 de jun. de 2023;42,0;0,3;955.777.024;322.646.840;4.207;0;711;708
Cached Threads;21:21:59.276, 30 de jun. de 2023;0,3;0,0;955.777.024;324.830.632;4.207;0;711;708
Cached Threads;21:22:00.276, 30 de jun. de 2023;0,3;0,0;955.777.024;327.015.416;4.207;0;711;708
Cached Threads;21:22:01.276, 30 de jun. de 2023;0,2;0,0;955.777.024;329.200.200;4.207;0;711;708
Cached Threads;21:22:02.277, 30 de jun. de 2023;0,2;0,0;955.777.024;331.384.472;4.207;0;711;708
Cached Threads;21:22:03.277, 30 de jun. de 2023;0,7;0,0;955.777.024;333.569.256;4.207;0;711;708
Cached Threads;21:22:04.277, 30 de jun. de 2023;1,3;0,0;955.777.024;335.753.024;4.207;0;711;708
Cached Threads;21:22:05.277, 30 de jun. de 2023;0,8;0,0;955.777.024;337.937.808;4.207;0;711;708
Cached Threads;21:22:06.277, 30 de jun. de 2023;0,2;0,0;955.777.024;340.122.592;4.207;0;711;708
Cached Threads;21:22:07.277, 30 de jun. de 2023;0,2;0,0;955.777.024;342.306.384;4.207;0;711;708
Cached Threads;21:22:08.277, 30 de jun. de 2023;0,2;0,0;955.777.024;344.491.168;4.207;0;711;708
Cached Threads;21:22:09.278, 30 de jun. de 2023;0,2;0,0;955.777.024;346.675.104;4.207;0;711;708
Cached Threads;21:22:10.278, 30 de jun. de 2023;0,2;0,0;955.777.024;349.459.344;4.207;0;711;708
Cached Threads;21:22:11.278, 30 de jun. de 2023;0,3;0,0;955.777.024;351.643.112;4.207;0;711;708
Cached Threads;21:22:12.279, 30 de jun. de 2023;0,5;0,0;955.777.024;354.984.984;4.207;0;711;708
Cached Threads;21:22:13.279, 30 de jun. de 2023;0,2;0,0;955.777.024;356.142.632;4.207;0;711;708
Cached Threads;21:22:14.279, 30 de jun. de 2023;0,3;0,0;955.777.024;358.457.800;4.207;0;711;708
Cached Threads;21:22:15.279, 30 de jun. de 2023;0,2;0,0;955.777.024;360.773.064;4.207;0;711;708
Cached Threads;21:22:16.279, 30 de jun. de 2023;0,2;0,0;955.777.024;363.088.328;4.207;0;711;708
Cached Threads;21:22:17.279, 30 de jun. de 2023;0,3;0,0;955.777.024;365.403.488;4.207;0;711;708
Cached Threads;21:22:18.279, 30 de jun. de 2023;0,2;0,0;955.777.024;367.721.480;4.207;0;711;708
Cached Threads;21:22:19.280, 30 de jun. de 2023;0,2;0,0;955.777.024;370.059.184;4.207;0;711;708
Cached Threads;21:22:20.280, 30 de jun. de 2023;0,2;0,0;955.777.024;372.419.440;4.207;0;711;708
Cached Threads;21:22:21.280, 30 de jun. de 2023;0,2;0,0;955.777.024;373.577.040;4.207;0;711;708
