"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"21:29:13.848, 30 de jun. de 2023","0,0","0,0","514.850.816","31.047.360","3.859","0","29","26"
"21:29:14.835, 30 de jun. de 2023","1,0","0,0","514.850.816","31.670.848","3.885","0","29","26"
"21:29:15.835, 30 de jun. de 2023","0,8","0,0","514.850.816","32.086.504","3.887","0","29","26"
"21:29:16.835, 30 de jun. de 2023","1,3","0,0","514.850.816","32.296.624","3.887","0","29","26"
"21:29:17.835, 30 de jun. de 2023","0,3","0,0","514.850.816","32.711.752","3.889","0","29","26"
"21:29:18.836, 30 de jun. de 2023","0,3","0,0","514.850.816","32.919.080","3.889","0","29","26"
"21:29:19.836, 30 de jun. de 2023","0,2","0,0","514.850.816","33.334.216","3.889","0","29","26"
"21:29:20.836, 30 de jun. de 2023","0,3","0,0","514.850.816","33.541.544","3.889","0","29","26"
"21:29:21.836, 30 de jun. de 2023","0,7","0,0","514.850.816","33.956.176","3.889","0","29","26"
"21:29:22.837, 30 de jun. de 2023","0,3","0,0","514.850.816","34.163.488","3.889","0","29","26"
"21:29:23.837, 30 de jun. de 2023","0,8","0,0","514.850.816","34.578.712","3.889","0","29","26"
"21:29:24.837, 30 de jun. de 2023","0,2","0,0","514.850.816","34.786.040","3.889","0","29","26"
"21:29:25.837, 30 de jun. de 2023","0,2","0,0","514.850.816","35.201.688","3.889","0","29","26"
"21:29:26.838, 30 de jun. de 2023","42,7","0,2","514.850.816","82.447.344","4.166","0","278","275"
"21:29:27.838, 30 de jun. de 2023","80,5","0,0","514.850.816","183.330.368","4.167","0","473","470"
"21:29:28.838, 30 de jun. de 2023","78,7","0,3","514.850.816","204.271.896","4.167","0","688","685"
"21:29:29.838, 30 de jun. de 2023","78,2","0,0","514.850.816","237.370.032","4.167","0","867","864"
"21:29:30.838, 30 de jun. de 2023","85,9","0,3","514.850.816","240.172.360","4.167","0","1.044","1.041"
"21:29:31.838, 30 de jun. de 2023","84,0","0,0","514.850.816","285.302.448","4.167","0","1.211","1.208"
"21:29:32.838, 30 de jun. de 2023","79,4","0,0","514.850.816","340.213.272","4.167","0","1.339","1.336"
"21:29:33.839, 30 de jun. de 2023","72,3","0,3","511.705.088","312.115.656","4.168","0","1.353","1.350"
"21:29:34.839, 30 de jun. de 2023","52,3","0,0","511.705.088","337.168.224","4.168","0","1.353","1.350"
"21:29:35.839, 30 de jun. de 2023","48,7","0,0","511.705.088","358.755.560","4.168","0","1.353","1.350"
"21:29:36.839, 30 de jun. de 2023","34,3","0,0","511.705.088","377.850.064","4.169","0","1.364","1.361"
"21:29:37.839, 30 de jun. de 2023","1,1","0,0","511.705.088","381.834.424","4.169","0","1.364","1.361"
"21:29:38.839, 30 de jun. de 2023","0,6","0,0","511.705.088","387.212.208","4.169","0","1.364","1.361"
"21:29:39.840, 30 de jun. de 2023","0,7","0,0","511.705.088","391.237.360","4.169","0","1.364","1.361"
"21:29:40.840, 30 de jun. de 2023","0,6","0,0","511.705.088","395.427.832","4.169","0","1.364","1.361"
"21:29:41.840, 30 de jun. de 2023","0,6","0,0","511.705.088","399.402.216","4.169","0","1.364","1.361"
"21:29:42.840, 30 de jun. de 2023","0,6","0,0","511.705.088","403.576.472","4.174","0","1.364","1.361"
"21:29:43.841, 30 de jun. de 2023","3,0","0,2","617.086.976","281.466.048","4.174","0","1.364","1.361"
"21:29:44.841, 30 de jun. de 2023","0,5","0,0","617.086.976","285.625.144","4.174","0","1.364","1.361"
"21:29:45.841, 30 de jun. de 2023","0,6","0,0","617.086.976","289.544.848","4.174","0","1.364","1.361"
"21:29:46.841, 30 de jun. de 2023","0,5","0,0","617.086.976","293.704.608","4.174","0","1.364","1.361"
"21:29:47.842, 30 de jun. de 2023","0,6","0,0","617.086.976","297.624.240","4.174","0","1.364","1.361"
"21:29:48.842, 30 de jun. de 2023","0,5","0,0","617.086.976","301.801.712","4.174","0","1.364","1.361"
"21:29:49.842, 30 de jun. de 2023","0,4","0,0","617.086.976","305.721.424","4.174","0","1.364","1.361"
"21:29:50.842, 30 de jun. de 2023","0,5","0,0","617.086.976","309.880.688","4.174","0","1.364","1.361"
"21:29:51.843, 30 de jun. de 2023","0,7","0,0","617.086.976","313.777.872","4.175","0","1.364","1.361"
"21:29:52.843, 30 de jun. de 2023","0,4","0,0","617.086.976","317.866.600","4.176","0","1.364","1.361"
"21:29:53.843, 30 de jun. de 2023","0,6","0,0","617.086.976","321.980.032","4.177","0","1.364","1.361"
"21:29:54.843, 30 de jun. de 2023","0,6","0,0","617.086.976","326.113.768","4.177","0","1.364","1.361"
"21:29:55.843, 30 de jun. de 2023","0,7","0,0","617.086.976","330.033.464","4.177","0","1.364","1.361"
"21:29:56.844, 30 de jun. de 2023","0,5","0,0","617.086.976","334.192.456","4.177","0","1.364","1.361"
"21:29:57.844, 30 de jun. de 2023","0,4","0,0","617.086.976","338.112.120","4.177","0","1.364","1.361"
"21:29:58.844, 30 de jun. de 2023","0,7","0,0","617.086.976","342.290.064","4.177","0","1.364","1.361"
"21:29:59.844, 30 de jun. de 2023","0,6","0,0","617.086.976","346.209.712","4.177","0","1.364","1.361"
"21:30:00.845, 30 de jun. de 2023","0,5","0,0","617.086.976","350.368.896","4.177","0","1.364","1.361"
"21:30:01.845, 30 de jun. de 2023","0,6","0,0","617.086.976","354.311.256","4.177","0","1.364","1.361"
"21:30:02.845, 30 de jun. de 2023","0,4","0,0","617.086.976","358.444.936","4.177","0","1.364","1.361"
"21:30:03.845, 30 de jun. de 2023","0,5","0,0","617.086.976","362.405.648","4.177","0","1.364","1.361"
"21:30:04.845, 30 de jun. de 2023","0,5","0,0","617.086.976","366.546.048","4.177","0","1.364","1.361"
"21:30:05.845, 30 de jun. de 2023","0,6","0,0","617.086.976","370.398.216","4.177","0","1.364","1.361"
"21:30:06.846, 30 de jun. de 2023","1,0","0,0","617.086.976","374.531.848","4.177","0","1.364","1.361"
"21:30:07.846, 30 de jun. de 2023","1,1","0,0","617.086.976","378.672.264","4.177","0","1.364","1.361"
"21:30:08.846, 30 de jun. de 2023","0,6","0,0","617.086.976","383.090.952","4.177","0","1.364","1.361"
"21:30:09.846, 30 de jun. de 2023","4,1","0,0","617.086.976","387.203.392","4.177","0","1.364","1.361"
"21:30:10.846, 30 de jun. de 2023","0,5","0,0","617.086.976","391.373.400","4.177","0","1.364","1.361"
"21:30:11.847, 30 de jun. de 2023","0,5","0,0","617.086.976","395.315.712","4.177","0","1.364","1.361"
"21:30:12.847, 30 de jun. de 2023","0,4","0,0","617.086.976","399.450.512","4.177","0","1.364","1.361"
"21:30:13.847, 30 de jun. de 2023","0,7","0,0","617.086.976","403.392.856","4.178","0","1.364","1.361"
"21:30:14.847, 30 de jun. de 2023","1,0","0,0","617.086.976","407.570.896","4.185","0","1.364","1.361"
"21:30:15.848, 30 de jun. de 2023","1,8","0,1","504.365.056","282.408.912","4.185","0","1.364","1.361"
"21:30:16.848, 30 de jun. de 2023","0,9","0,0","504.365.056","286.931.528","4.185","0","1.364","1.361"
"21:30:17.848, 30 de jun. de 2023","0,5","0,0","504.365.056","290.255.936","4.185","0","1.364","1.361"
"21:30:18.848, 30 de jun. de 2023","0,6","0,0","504.365.056","294.701.032","4.185","0","1.364","1.361"
"21:30:19.848, 30 de jun. de 2023","0,5","0,0","504.365.056","299.133.632","4.185","0","1.364","1.361"
"21:30:20.849, 30 de jun. de 2023","0,5","0,0","504.365.056","302.460.840","4.185","0","1.364","1.361"
"21:30:21.849, 30 de jun. de 2023","0,6","0,0","504.365.056","306.893.392","4.185","0","1.364","1.361"
"21:30:22.849, 30 de jun. de 2023","0,3","0,0","504.365.056","311.326.008","4.185","0","1.364","1.361"
"21:30:23.849, 30 de jun. de 2023","0,6","0,0","504.365.056","314.654.640","4.185","0","1.364","1.361"
"21:30:24.849, 30 de jun. de 2023","4,2","0,0","504.365.056","319.280.008","4.185","0","1.364","1.361"
"21:30:25.850, 30 de jun. de 2023","0,5","0,0","504.365.056","322.604.432","4.185","0","1.364","1.361"
"21:30:26.850, 30 de jun. de 2023","0,5","0,0","504.365.056","327.042.424","4.185","0","1.364","1.361"
"21:30:27.850, 30 de jun. de 2023","0,4","0,0","504.365.056","331.520.024","4.185","0","1.364","1.361"
"21:30:28.850, 30 de jun. de 2023","0,5","0,0","504.365.056","335.190.032","4.185","0","1.364","1.361"
"21:30:29.850, 30 de jun. de 2023","0,7","0,0","504.365.056","339.815.376","4.185","0","1.364","1.361"
"21:30:30.851, 30 de jun. de 2023","0,5","0,0","504.365.056","343.139.808","4.185","0","1.364","1.361"
"21:30:31.851, 30 de jun. de 2023","0,6","0,0","504.365.056","347.583.256","4.185","0","1.364","1.361"
"21:30:32.851, 30 de jun. de 2023","0,6","0,0","504.365.056","352.060.872","4.185","0","1.364","1.361"
"21:30:33.851, 30 de jun. de 2023","0,5","0,0","504.365.056","355.385.344","4.185","0","1.364","1.361"
"21:30:34.851, 30 de jun. de 2023","0,5","0,0","504.365.056","360.222.880","4.185","0","1.364","1.361"
"21:30:35.852, 30 de jun. de 2023","0,7","0,0","504.365.056","363.562.528","4.187","0","1.363","1.360"
"21:30:36.852, 30 de jun. de 2023","6,0","0,0","504.365.056","375.640.976","4.187","0","30","27"
"21:30:37.852, 30 de jun. de 2023","0,1","0,0","504.365.056","375.640.976","4.187","0","30","27"
"21:30:38.852, 30 de jun. de 2023","0,0","0,0","504.365.056","376.458.896","4.187","0","29","26"
"21:30:39.853, 30 de jun. de 2023","0,1","0,0","504.365.056","377.567.040","4.187","0","29","26"
"21:30:40.853, 30 de jun. de 2023","0,1","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:41.853, 30 de jun. de 2023","0,2","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:42.853, 30 de jun. de 2023","0,2","0,0","504.365.056","377.579.536","4.187","0","29","26"
"21:30:43.853, 30 de jun. de 2023","0,0","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:44.854, 30 de jun. de 2023","0,1","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:45.854, 30 de jun. de 2023","0,1","0,0","504.365.056","378.687.680","4.187","0","29","26"
"21:30:46.854, 30 de jun. de 2023","19,3","0,1","600.834.048","304.406.264","4.187","0","462","459"
"21:30:47.854, 30 de jun. de 2023","79,7","0,0","600.834.048","350.850.072","4.187","0","754","751"
"21:30:48.854, 30 de jun. de 2023","72,1","0,0","600.834.048","371.214.920","4.187","0","754","751"
"21:30:49.854, 30 de jun. de 2023","51,0","0,0","600.834.048","390.096.632","4.187","0","754","751"
"21:30:50.854, 30 de jun. de 2023","52,1","0,0","600.834.048","410.199.368","4.187","0","754","751"
"21:30:51.855, 30 de jun. de 2023","57,8","1,5","631.242.752","214.212.888","4.122","0","996","993"
"21:30:52.855, 30 de jun. de 2023","49,4","0,0","631.242.752","234.812.968","4.122","0","996","993"
"21:30:53.855, 30 de jun. de 2023","46,0","0,0","631.242.752","255.158.856","4.122","0","996","993"
"21:30:54.855, 30 de jun. de 2023","48,7","0,0","631.242.752","275.530.928","4.122","0","996","993"
"21:30:55.855, 30 de jun. de 2023","46,3","0,1","542.113.792","210.704.504","4.122","0","996","993"
"21:30:56.856, 30 de jun. de 2023","39,5","0,0","542.113.792","228.604.672","4.122","0","996","993"
"21:30:57.856, 30 de jun. de 2023","0,5","0,0","542.113.792","231.756.704","4.122","0","996","993"
"21:30:58.856, 30 de jun. de 2023","0,7","0,0","542.113.792","234.301.624","4.122","0","996","993"
"21:30:59.856, 30 de jun. de 2023","0,3","0,0","542.113.792","237.543.776","4.122","0","996","993"
"21:31:00.856, 30 de jun. de 2023","0,6","0,0","542.113.792","240.692.312","4.123","0","996","993"
"21:31:01.856, 30 de jun. de 2023","0,3","0,0","542.113.792","243.844.352","4.123","0","996","993"
"21:31:02.857, 30 de jun. de 2023","0,3","0,0","542.113.792","247.176.640","4.124","0","996","993"
"21:31:03.857, 30 de jun. de 2023","0,6","0,0","542.113.792","250.329.656","4.124","0","996","993"
"21:31:04.857, 30 de jun. de 2023","0,3","0,0","542.113.792","252.848.512","4.124","0","996","993"
"21:31:05.857, 30 de jun. de 2023","0,3","0,0","542.113.792","256.114.952","4.124","0","996","993"
"21:31:06.858, 30 de jun. de 2023","0,5","0,0","542.113.792","259.289.576","4.125","0","996","993"
"21:31:07.858, 30 de jun. de 2023","0,5","0,0","542.113.792","262.621.976","4.125","0","996","993"
"21:31:08.858, 30 de jun. de 2023","0,5","0,0","542.113.792","265.784.752","4.125","0","996","993"
"21:31:09.858, 30 de jun. de 2023","0,5","0,0","542.113.792","268.936.800","4.125","0","996","993"
"21:31:10.859, 30 de jun. de 2023","0,5","0,0","542.113.792","271.504.144","4.125","0","996","993"
"21:31:11.859, 30 de jun. de 2023","0,3","0,0","542.113.792","274.656.160","4.125","0","996","993"
"21:31:12.859, 30 de jun. de 2023","0,5","0,0","542.113.792","277.827.328","4.125","0","996","993"
"21:31:13.859, 30 de jun. de 2023","0,3","0,0","542.113.792","281.159.624","4.125","0","996","993"
"21:31:14.859, 30 de jun. de 2023","0,3","0,0","542.113.792","284.312.120","4.125","0","996","993"
"21:31:15.860, 30 de jun. de 2023","0,4","0,0","542.113.792","286.903.768","4.128","0","996","993"
"21:31:16.860, 30 de jun. de 2023","0,5","0,0","542.113.792","290.142.632","4.128","0","996","993"
"21:31:17.860, 30 de jun. de 2023","0,3","0,0","542.113.792","293.317.232","4.129","0","996","993"
"21:31:18.860, 30 de jun. de 2023","0,3","0,0","542.113.792","296.649.576","4.129","0","996","993"
"21:31:19.861, 30 de jun. de 2023","1,3","0,0","542.113.792","299.801.592","4.129","0","996","993"
