"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"09:43:33.801, 22 de jun. de 2023","0,0","0,0","514.850.816","47.641.400","4.201","0","31","28"
"09:43:34.792, 22 de jun. de 2023","0,5","0,0","514.850.816","47.866.008","4.201","0","31","28"
"09:43:35.793, 22 de jun. de 2023","0,2","0,0","514.850.816","48.090.600","4.201","0","31","28"
"09:43:36.793, 22 de jun. de 2023","0,2","0,0","514.850.816","48.540.816","4.201","0","31","28"
"09:43:37.794, 22 de jun. de 2023","0,4","0,0","514.850.816","48.765.408","4.201","0","31","28"
"09:43:38.794, 22 de jun. de 2023","0,1","0,0","514.850.816","49.214.616","4.201","0","31","28"
"09:43:39.794, 22 de jun. de 2023","7,8","0,0","514.850.816","97.753.120","4.410","0","166","160"
"09:43:40.794, 22 de jun. de 2023","36,0","0,1","514.850.816","131.969.768","4.411","0","221","218"
"09:43:41.794, 22 de jun. de 2023","18,8","0,0","514.850.816","188.517.368","4.412","0","221","218"
"09:43:42.795, 22 de jun. de 2023","20,3","0,2","514.850.816","204.482.776","4.413","0","221","218"
"09:43:43.795, 22 de jun. de 2023","13,3","0,0","514.850.816","206.429.440","4.414","0","221","218"
"09:43:44.795, 22 de jun. de 2023","14,6","0,0","514.850.816","221.112.328","4.414","0","221","218"
"09:43:45.795, 22 de jun. de 2023","9,7","0,0","514.850.816","233.210.064","4.414","0","221","218"
"09:43:46.795, 22 de jun. de 2023","9,3","0,0","514.850.816","237.174.608","4.414","0","221","218"
"09:43:47.795, 22 de jun. de 2023","9,6","0,0","514.850.816","252.304.256","4.414","0","221","218"
"09:43:48.795, 22 de jun. de 2023","9,9","0,0","514.850.816","253.231.016","4.414","0","221","218"
"09:43:49.795, 22 de jun. de 2023","10,1","0,0","514.850.816","268.570.056","4.414","0","221","218"
"09:43:50.795, 22 de jun. de 2023","8,6","0,0","514.850.816","269.275.384","4.414","0","221","218"
"09:43:51.796, 22 de jun. de 2023","7,7","0,0","514.850.816","284.617.656","4.414","0","221","218"
"09:43:52.796, 22 de jun. de 2023","8,0","0,0","514.850.816","285.321.800","4.414","0","221","218"
"09:43:53.796, 22 de jun. de 2023","7,8","0,0","514.850.816","300.073.056","4.414","0","221","218"
"09:43:54.796, 22 de jun. de 2023","7,9","0,0","514.850.816","300.777.208","4.414","0","221","218"
"09:43:55.796, 22 de jun. de 2023","9,0","0,1","514.850.816","198.437.200","4.414","0","221","218"
"09:43:56.797, 22 de jun. de 2023","5,7","0,0","514.850.816","209.141.104","4.414","0","221","218"
"09:43:57.797, 22 de jun. de 2023","0,1","0,0","514.850.816","210.023.176","4.414","0","221","218"
"09:43:58.798, 22 de jun. de 2023","0,0","0,0","514.850.816","210.893.960","4.414","0","221","218"
"09:43:59.798, 22 de jun. de 2023","0,5","0,0","514.850.816","211.775.176","4.414","0","221","218"
"09:44:00.799, 22 de jun. de 2023","0,1","0,0","514.850.816","212.651.096","4.414","0","221","218"
"09:44:01.800, 22 de jun. de 2023","0,2","0,0","514.850.816","213.738.848","4.419","0","221","218"
"09:44:02.800, 22 de jun. de 2023","0,1","0,0","514.850.816","214.609.680","4.419","0","221","218"
"09:44:03.800, 22 de jun. de 2023","0,1","0,0","514.850.816","215.479.472","4.419","0","221","218"
"09:44:04.800, 22 de jun. de 2023","0,1","0,0","514.850.816","216.372.936","4.419","0","221","218"
"09:44:05.801, 22 de jun. de 2023","0,1","0,0","514.850.816","217.242.712","4.419","0","221","218"
"09:44:06.801, 22 de jun. de 2023","0,1","0,0","514.850.816","218.112.568","4.419","0","221","218"
"09:44:07.802, 22 de jun. de 2023","0,1","0,0","514.850.816","219.005.048","4.419","0","221","218"
"09:44:08.802, 22 de jun. de 2023","0,1","0,0","514.850.816","219.897.368","4.420","0","221","218"
"09:44:09.803, 22 de jun. de 2023","0,1","0,0","514.850.816","220.838.928","4.420","0","221","218"
"09:44:10.803, 22 de jun. de 2023","0,1","0,0","514.850.816","221.710.464","4.420","0","221","218"
"09:44:11.804, 22 de jun. de 2023","0,2","0,0","514.850.816","222.627.376","4.422","0","221","218"
"09:44:12.804, 22 de jun. de 2023","9,8","0,0","514.850.816","230.610.744","4.423","0","221","218"
"09:44:13.804, 22 de jun. de 2023","0,1","0,0","514.850.816","231.481.552","4.423","0","221","218"
"09:44:14.805, 22 de jun. de 2023","0,1","0,0","514.850.816","232.351.384","4.423","0","221","218"
"09:44:15.805, 22 de jun. de 2023","0,3","0,0","514.850.816","233.244.720","4.423","0","221","218"
"09:44:16.806, 22 de jun. de 2023","0,1","0,0","514.850.816","234.114.648","4.423","0","221","218"
"09:44:17.806, 22 de jun. de 2023","0,1","0,0","514.850.816","234.985.520","4.423","0","221","218"
"09:44:18.807, 22 de jun. de 2023","0,1","0,0","514.850.816","235.857.584","4.423","0","221","218"
"09:44:19.807, 22 de jun. de 2023","0,1","0,0","514.850.816","236.728.272","4.423","0","221","218"
"09:44:20.808, 22 de jun. de 2023","0,1","0,0","514.850.816","237.599.128","4.423","0","221","218"
"09:44:21.808, 22 de jun. de 2023","0,1","0,0","514.850.816","238.468.928","4.423","0","221","218"
"09:44:22.809, 22 de jun. de 2023","0,2","0,0","514.850.816","239.338.736","4.423","0","221","218"
"09:44:23.809, 22 de jun. de 2023","0,0","0,0","514.850.816","240.263.168","4.423","0","221","218"
"09:44:24.810, 22 de jun. de 2023","0,2","0,0","514.850.816","241.133.056","4.423","0","221","218"
"09:44:25.810, 22 de jun. de 2023","1,0","0,0","514.850.816","242.480.496","4.423","0","221","218"
"09:44:26.811, 22 de jun. de 2023","0,1","0,0","514.850.816","243.350.920","4.423","0","221","218"
"09:44:27.811, 22 de jun. de 2023","0,0","0,0","514.850.816","243.350.920","4.423","0","221","218"
