tipo;qual execução;hora;cpu;dado1;reservada;utilizada;total loaded;Shared loaded;threads;daemon
Virtual Threads;VT3;21:10:48.077, 30 de jun. de 2023;0;0;2452619264;1418727280;4167;0;25;22
Virtual Threads;VT3;21:10:49.078, 30 de jun. de 2023;0,1;0;2452619264;1419106912;4167;0;25;22
Virtual Threads;VT3;21:10:50.078, 30 de jun. de 2023;35,7;0;2452619264;1504226592;4167;0;27;24
Virtual Threads;VT3;21:10:51.078, 30 de jun. de 2023;50,3;0;2452619264;1544985056;4167;0;27;24
Virtual Threads;VT3;21:10:52.078, 30 de jun. de 2023;48,6;0;2452619264;1585634312;4167;0;27;24
Virtual Threads;VT3;21:10:53.078, 30 de jun. de 2023;52,2;0;2452619264;1628478288;4167;0;27;24
Virtual Threads;VT3;21:10:54.078, 30 de jun. de 2023;50,3;0;2452619264;1666334392;4167;0;27;24
Virtual Threads;VT3;21:10:55.078, 30 de jun. de 2023;52,5;0;2452619264;1707317976;4167;0;27;24
Virtual Threads;VT3;21:10:56.078, 30 de jun. de 2023;49,7;0;2452619264;1749915904;4167;0;27;24
Virtual Threads;VT3;21:10:57.078, 30 de jun. de 2023;61,1;1;2452619264;1287180856;4167;0;27;24
Virtual Threads;VT3;21:10:58.079, 30 de jun. de 2023;49,4;0;2452619264;1326218184;4167;0;27;24
Virtual Threads;VT3;21:10:59.079, 30 de jun. de 2023;51,1;0;2452619264;1367301648;4167;0;27;24
Virtual Threads;VT3;21:11:00.079, 30 de jun. de 2023;15,8;0;2452619264;1382358048;4167;0;27;24
Virtual Threads;VT3;21:11:01.079, 30 de jun. de 2023;0;0;2452619264;1382358048;4167;0;27;24
Virtual Threads;VT3;21:11:02.079, 30 de jun. de 2023;0;0;2452619264;1382761744;4167;0;27;24
Virtual Threads;VT3;21:11:03.080, 30 de jun. de 2023;0,3;0;2452619264;1383165408;4167;0;27;24
Virtual Threads;VT3;21:11:04.080, 30 de jun. de 2023;1;0;2452619264;1383569072;4167;0;27;24
Virtual Threads;VT3;21:11:05.080, 30 de jun. de 2023;0,2;0;2452619264;1383569072;4167;0;27;24
Virtual Threads;VT3;21:11:06.080, 30 de jun. de 2023;0,3;0;2452619264;1383972752;4167;0;27;24
Virtual Threads;VT3;21:11:07.081, 30 de jun. de 2023;0,1;0;2452619264;1384376448;4167;0;27;24
Virtual Threads;VT3;21:11:08.081, 30 de jun. de 2023;0,2;0;2452619264;1384376448;4167;0;27;24
Virtual Threads;VT3;21:11:09.081, 30 de jun. de 2023;0,1;0;2452619264;1384780280;4167;0;27;24
Virtual Threads;VT3;21:11:10.081, 30 de jun. de 2023;0,1;0;2452619264;1385737592;4167;0;27;24
Virtual Threads;VT3;21:11:11.081, 30 de jun. de 2023;0,3;0;2452619264;1385737592;4167;0;27;24
Virtual Threads;VT3;21:11:12.082, 30 de jun. de 2023;0;0;2452619264;1386141288;4167;0;27;24
Virtual Threads;VT3;21:11:13.082, 30 de jun. de 2023;0;0;2452619264;1386544968;4167;0;27;24
Virtual Threads;VT3;21:11:14.082, 30 de jun. de 2023;0,1;0;2452619264;1386948664;4167;0;27;24
Virtual Threads;VT3;21:11:15.082, 30 de jun. de 2023;0;0;2452619264;1386948664;4167;0;27;24
Virtual Threads;VT3;21:11:16.082, 30 de jun. de 2023;0,2;0;2452619264;1387352328;4167;0;27;24
Virtual Threads;VT3;21:11:17.082, 30 de jun. de 2023;0;0;2452619264;1387756000;4167;0;27;24
Virtual Threads;VT3;21:11:18.082, 30 de jun. de 2023;0,1;0;2452619264;1387756000;4167;0;27;24
Virtual Threads;VT3;21:11:19.083, 30 de jun. de 2023;0,1;0;2452619264;1388160680;4167;0;27;24
Virtual Threads;VT3;21:11:20.083, 30 de jun. de 2023;0;0;2452619264;1388565744;4167;0;27;24
Virtual Threads;VT3;21:11:21.083, 30 de jun. de 2023;0,1;0;2452619264;1388969424;4167;0;27;24
Virtual Threads;VT3;21:11:22.083, 30 de jun. de 2023;0,1;0;2452619264;1388969424;4167;0;27;24
Virtual Threads;VT3;21:11:23.083, 30 de jun. de 2023;0;0;2452619264;1389373104;4167;0;27;24
Virtual Threads;VT3;21:11:24.083, 30 de jun. de 2023;0,1;0;2452619264;1389777784;4167;0;27;24
Virtual Threads;VT3;21:11:25.084, 30 de jun. de 2023;0,1;0;2452619264;1389777784;4167;0;27;24
Virtual Threads;VT3;21:11:26.084, 30 de jun. de 2023;0;0;2452619264;1390182464;4167;0;27;24
Virtual Threads;VT3;21:11:27.084, 30 de jun. de 2023;0,5;0;2452619264;1390586136;4167;0;27;24
Virtual Threads;VT3;21:11:28.084, 30 de jun. de 2023;0;0;2452619264;1390586136;4167;0;27;24
Virtual Threads;VT3;21:11:29.084, 30 de jun. de 2023;0,1;0;2452619264;1390990816;4167;0;27;24
Virtual Threads;VT3;21:11:30.085, 30 de jun. de 2023;0;0;2452619264;1391394496;4167;0;26;23
Virtual Threads;VT3;21:11:31.085, 30 de jun. de 2023;0,1;0;2452619264;1391798664;4167;0;26;23
Virtual Threads;VT3;21:11:32.085, 30 de jun. de 2023;0,2;0;2452619264;1392352344;4167;0;26;23
Virtual Threads;VT3;21:11:33.085, 30 de jun. de 2023;0,1;0;2452619264;1392756024;4167;0;26;23
Virtual Threads;VT3;21:11:34.085, 30 de jun. de 2023;0,1;0;2452619264;1393160192;4167;0;26;23
Virtual Threads;VT3;21:11:35.085, 30 de jun. de 2023;0;0;2452619264;1393160192;4167;0;26;23
Virtual Threads;VT3;21:11:36.085, 30 de jun. de 2023;1,3;0;2452619264;1393564872;4167;0;26;23
Virtual Threads;VT3;21:11:37.086, 30 de jun. de 2023;0,1;0;2452619264;1393969552;4167;0;26;23
Virtual Threads;VT3;21:11:38.086, 30 de jun. de 2023;0,1;0;2452619264;1393969552;4167;0;26;23
Virtual Threads;VT3;21:11:39.086, 30 de jun. de 2023;0,1;0;2452619264;1394373720;4167;0;26;23
Virtual Threads;VT3;21:11:40.086, 30 de jun. de 2023;0;0;2452619264;1394777376;4167;0;26;23
Virtual Threads;VT3;21:11:41.086, 30 de jun. de 2023;0;0;2452619264;1395181072;4167;0;26;23
Virtual Threads;VT3;21:11:42.086, 30 de jun. de 2023;0;0;2452619264;1395181072;4167;0;26;23
Virtual Threads;VT3;21:11:43.087, 30 de jun. de 2023;0,1;0;2452619264;1395584752;4167;0;26;23
Virtual Threads;VT3;21:11:44.087, 30 de jun. de 2023;0,1;0;2452619264;1395988432;4167;0;26;23
Virtual Threads;VT3;21:11:45.087, 30 de jun. de 2023;0;0;2452619264;1395988432;4167;0;26;23
Virtual Threads;VT3;21:11:46.087, 30 de jun. de 2023;0,1;0;2452619264;1396393112;4167;0;26;23
Virtual Threads;VT3;21:11:47.087, 30 de jun. de 2023;0,1;0;2452619264;1396796872;4167;0;26;23
Virtual Threads;VT3;21:11:48.087, 30 de jun. de 2023;0,1;0;2452619264;1396796872;4167;0;26;23
Virtual Threads;VT3;21:11:49.088, 30 de jun. de 2023;0;0;2452619264;1397200536;4167;0;26;23
Virtual Threads;VT3;21:11:50.088, 30 de jun. de 2023;0,2;0;2452619264;1397604200;4167;0;26;23
Virtual Threads;VT3;21:11:51.088, 30 de jun. de 2023;0;0;2452619264;1398008880;4167;0;26;23
Virtual Threads;VT3;21:11:52.088, 30 de jun. de 2023;0,1;0;2452619264;1398008880;4167;0;26;23
Virtual Threads;VT3;21:11:53.088, 30 de jun. de 2023;0,1;0;2452619264;1398412560;4167;0;26;23
Virtual Threads;VT3;21:11:54.089, 30 de jun. de 2023;0;0;2452619264;1398816240;4167;0;26;23
Virtual Threads;VT3;21:11:55.089, 30 de jun. de 2023;0,1;0;2452619264;1398816240;4167;0;26;23
Virtual Threads;VT3;21:11:56.089, 30 de jun. de 2023;0;0;2452619264;1399219928;4167;0;26;23
Virtual Threads;VT3;21:11:57.089, 30 de jun. de 2023;0,1;0;2452619264;1399623624;4167;0;26;23
Virtual Threads;VT3;21:11:58.089, 30 de jun. de 2023;0,1;0;2452619264;1399623624;4167;0;26;23
Virtual Threads;VT3;21:11:59.089, 30 de jun. de 2023;0;0;2452619264;1400028304;4167;0;26;23
Virtual Threads;VT3;21:12:00.090, 30 de jun. de 2023;0,1;0;2452619264;1400432064;4167;0;25;22
Virtual Threads;VT3;21:12:01.090, 30 de jun. de 2023;0;0;2452619264;1400432064;4167;0;25;22
Virtual Threads;VT3;21:12:02.090, 30 de jun. de 2023;0,1;0;2452619264;1400835760;4167;0;25;22
Virtual Threads;VT3;21:12:03.090, 30 de jun. de 2023;0,1;0;2452619264;1401240824;4167;0;25;22
Virtual Threads;VT3;21:12:04.090, 30 de jun. de 2023;0,1;0;2452619264;1401644992;4167;0;25;22
Virtual Threads;VT3;21:12:05.091, 30 de jun. de 2023;0;0;2452619264;1401644992;4167;0;25;22
Virtual Threads;VT3;21:12:06.091, 30 de jun. de 2023;0,1;0;2452619264;1402048672;4167;0;25;22
Virtual Threads;VT3;21:12:07.091, 30 de jun. de 2023;0,1;0;2452619264;1402453352;4167;0;25;22
Virtual Threads;VT4;21:12:08.091, 30 de jun. de 2023;0;0;2452619264;1402606872;4167;0;25;22
Virtual Threads;VT4;21:12:09.091, 30 de jun. de 2023;0,1;0;2452619264;1403010536;4167;0;25;22
Virtual Threads;VT4;21:12:10.092, 30 de jun. de 2023;27,5;0;2452619264;1473959136;4167;0;27;24
Virtual Threads;VT4;21:12:11.092, 30 de jun. de 2023;49,8;0;2452619264;1516010824;4167;0;27;24
Virtual Threads;VT4;21:12:12.092, 30 de jun. de 2023;49,7;0;2452619264;1555776128;4167;0;27;24
Virtual Threads;VT4;21:12:13.092, 30 de jun. de 2023;50,1;0;2452619264;1597950616;4167;0;27;24
Virtual Threads;VT4;21:12:14.092, 30 de jun. de 2023;49,3;0;2452619264;1638739064;4167;0;27;24
Virtual Threads;VT4;21:12:15.092, 30 de jun. de 2023;53,2;0,3;2452619264;1218993880;4167;0;27;24
Virtual Threads;VT4;21:12:16.092, 30 de jun. de 2023;49,3;0;2452619264;1259452136;4167;0;27;24
Virtual Threads;VT4;21:12:17.093, 30 de jun. de 2023;50,1;0;2452619264;1301340784;4167;0;27;24
Virtual Threads;VT4;21:12:18.093, 30 de jun. de 2023;49,5;0;2452619264;1342873352;4167;0;27;24
Virtual Threads;VT4;21:12:19.093, 30 de jun. de 2023;50,1;0;2452619264;1383410784;4167;0;27;24
Virtual Threads;VT4;21:12:20.093, 30 de jun. de 2023;23,2;0;2452619264;1404472248;4167;0;27;24
Virtual Threads;VT4;21:12:21.093, 30 de jun. de 2023;0;0;2452619264;1404887552;4167;0;27;24
Virtual Threads;VT4;21:12:22.094, 30 de jun. de 2023;0,1;0;2452619264;1404887552;4167;0;27;24
Virtual Threads;VT4;21:12:23.094, 30 de jun. de 2023;0,1;0;2452619264;1405303856;4167;0;27;24
Virtual Threads;VT4;21:12:24.094, 30 de jun. de 2023;0,1;0;2452619264;1405719184;4167;0;27;24
Virtual Threads;VT4;21:12:25.094, 30 de jun. de 2023;0,1;0;2452619264;1405719184;4167;0;27;24
Virtual Threads;VT4;21:12:26.094, 30 de jun. de 2023;0;0;2452619264;1406135488;4167;0;27;24
Virtual Threads;VT4;21:12:27.094, 30 de jun. de 2023;0,1;0;2452619264;1406550824;4167;0;27;24
Virtual Threads;VT4;21:12:28.095, 30 de jun. de 2023;0;0;2452619264;1406550824;4167;0;27;24
Virtual Threads;VT4;21:12:29.095, 30 de jun. de 2023;0,1;0;2452619264;1406966616;4167;0;27;24
Virtual Threads;VT4;21:12:30.095, 30 de jun. de 2023;0;0;2452619264;1407384712;4167;0;27;24
Virtual Threads;VT4;21:12:31.095, 30 de jun. de 2023;0;0;2452619264;1407384712;4167;0;27;24
Virtual Threads;VT4;21:12:32.096, 30 de jun. de 2023;0,2;0;2452619264;1407801016;4167;0;27;24
Virtual Threads;VT4;21:12:33.096, 30 de jun. de 2023;0,1;0;2452619264;1408216384;4167;0;27;24
Virtual Threads;VT4;21:12:34.096, 30 de jun. de 2023;0;0;2452619264;1408632688;4167;0;27;24
Virtual Threads;VT4;21:12:35.096, 30 de jun. de 2023;0,1;0;2452619264;1413403736;4167;0;27;24
Virtual Threads;VT4;21:12:36.097, 30 de jun. de 2023;0,1;0;2452619264;1413819096;4167;0;27;24
Virtual Threads;VT4;21:12:37.097, 30 de jun. de 2023;0;0;2452619264;1414234888;4167;0;27;24
Virtual Threads;VT4;21:12:38.097, 30 de jun. de 2023;0,3;0;2452619264;1414234888;4167;0;27;24
Virtual Threads;VT4;21:12:39.097, 30 de jun. de 2023;0,3;0;2452619264;1414651192;4167;0;27;24
Virtual Threads;VT4;21:12:40.097, 30 de jun. de 2023;0;0;2452619264;1415066984;4167;0;27;24
Virtual Threads;VT4;21:12:41.098, 30 de jun. de 2023;0,1;0;2452619264;1415066984;4167;0;27;24
Virtual Threads;VT4;21:12:42.098, 30 de jun. de 2023;0;0;2452619264;1415482304;4167;0;27;24
Virtual Threads;VT4;21:12:43.098, 30 de jun. de 2023;0,1;0;2452619264;1416260296;4167;0;27;24
Virtual Threads;VT4;21:12:44.098, 30 de jun. de 2023;0,1;0;2452619264;1416675616;4167;0;27;24
Virtual Threads;VT4;21:12:45.099, 30 de jun. de 2023;0,1;0;2452619264;1416675616;4167;0;27;24
Virtual Threads;VT4;21:12:46.099, 30 de jun. de 2023;0;0;2452619264;1417090920;4167;0;27;24
Virtual Threads;VT4;21:12:47.099, 30 de jun. de 2023;0,1;0;2452619264;1417506216;4167;0;27;24
Virtual Threads;VT4;21:12:48.099, 30 de jun. de 2023;0,5;0;2452619264;1417506216;4167;0;27;24
Virtual Threads;VT4;21:12:49.100, 30 de jun. de 2023;0;0;2452619264;1417921504;4167;0;27;24
Virtual Threads;VT4;21:12:50.100, 30 de jun. de 2023;0,1;0;2452619264;1418336888;4167;0;25;22
Virtual Threads;VT4;21:12:51.100, 30 de jun. de 2023;0,1;0;2452619264;1418336888;4167;0;25;22
Virtual Threads;VT4;21:12:52.100, 30 de jun. de 2023;0,3;0;2452619264;1418752208;4167;0;25;22
Virtual Threads;VT4;21:12:53.100, 30 de jun. de 2023;0;0;2452619264;1419167520;4167;0;25;22
Virtual Threads;VT4;21:12:54.101, 30 de jun. de 2023;0,1;0;2452619264;1419167520;4167;0;25;22
Virtual Threads;VT4;21:12:55.101, 30 de jun. de 2023;0;0;2452619264;1419582840;4167;0;25;22
Virtual Threads;VT4;21:12:56.101, 30 de jun. de 2023;0,1;0;2452619264;1419999144;4167;0;25;22
Virtual Threads;VT4;21:12:57.101, 30 de jun. de 2023;0,1;0;2452619264;1419999144;4167;0;25;22
Virtual Threads;VT4;21:12:58.101, 30 de jun. de 2023;0,1;0;2452619264;1420414456;4167;0;25;22
Virtual Threads;VT4;21:12:59.102, 30 de jun. de 2023;0;0;2452619264;1420829800;4167;0;25;22
Virtual Threads;VT4;21:13:00.102, 30 de jun. de 2023;0,2;0;2452619264;1420829800;4167;0;25;22
Virtual Threads;VT4;21:13:01.102, 30 de jun. de 2023;0;0;2452619264;1421246104;4167;0;25;22
Virtual Threads;VT4;21:13:02.102, 30 de jun. de 2023;0,1;0;2452619264;1421763432;4167;0;25;22
Virtual Threads;VT4;21:13:03.103, 30 de jun. de 2023;0,1;0;2452619264;1421763432;4167;0;25;22
Virtual Threads;VT4;21:13:04.103, 30 de jun. de 2023;0;0;2452619264;1422179736;4167;0;25;22
Virtual Threads;VT4;21:13:05.103, 30 de jun. de 2023;0,1;0;2452619264;1422595040;4167;0;25;22
Virtual Threads;VT4;21:13:06.103, 30 de jun. de 2023;0,1;0;2452619264;1423011344;4167;0;25;22
Virtual Threads;VT4;21:13:07.103, 30 de jun. de 2023;0;0;2452619264;1423011344;4167;0;25;22
Virtual Threads;VT4;21:13:08.104, 30 de jun. de 2023;0,1;0;2452619264;1423426648;4167;0;25;22
Virtual Threads;VT4;21:13:09.104, 30 de jun. de 2023;1,1;0;2452619264;1423842440;4167;0;25;22
Virtual Threads;VT4;21:13:10.104, 30 de jun. de 2023;0,1;0;2452619264;1424202304;4167;0;25;22
